"","playlist.id","playlist.name","playlist.description","followers.total","owner.display_name","owner.uri","tracks.limit","tracks.total","playlist.extracteddate"
1571,"37i9dQZEVXbJlM6nvL1nD1","Top 50 - Ecuador","Your daily update of the most played tracks right now - Ecuador.",169381,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1572,"37i9dQZEVXbLesry2Qw2xS","Top 50 - Estonia","Your daily update of the most played tracks right now - Estonia.",16997,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1573,"37i9dQZEVXbMxcczTSoGwZ","Top 50 - Finland","Your daily update of the most played tracks right now - Finland.",132192,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1574,"37i9dQZEVXbIPWwFssbupI","Top 50 - France","Your daily update of the most played tracks right now - France.",818465,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1575,"37i9dQZEVXbJiZcmkrIHGU","Top 50 - Germany","Your daily update of the most played tracks right now - Germany.",2131814,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1576,"37i9dQZEVXbMDoHDwVN2tF","Top 50 - Global","Your daily update of the most played tracks right now - Global.",17029984,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1577,"37i9dQZEVXbJqdarpmTJDL","Top 50 - Greece","Your daily update of the most played tracks right now - Greece.",80124,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1578,"37i9dQZEVXbLy5tBFyQvd4","Top 50 - Guatemala","Your daily update of the most played tracks right now - Guatemala.",74888,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1579,"37i9dQZEVXbLwpL8TjsxOG","Top 50 - Hong Kong","Your daily update of the most played tracks right now - Hong Kong.",105414,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1580,"37i9dQZEVXbNHwMxAkvmF8","Top 50 - Hungary","Your daily update of the most played tracks right now - Hungary.",68614,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1581,"37i9dQZEVXbKMzVsSGQ49S","Top 50 - Iceland","Your daily update of the most played tracks right now - Iceland.",39795,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1582,"37i9dQZEVXbLZ52XmnySJg","Top 50 - India","Your daily update of the most played tracks right now - India.",356941,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1583,"37i9dQZEVXbObFQZ3JLcXt","Top 50 - Indonesia","Your daily update of the most played tracks right now - Indonesia.",625001,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1584,"37i9dQZEVXbKM896FDX8L1","Top 50 - Ireland","Your daily update of the most played tracks right now - Ireland.",239989,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1585,"37i9dQZEVXbJ6IpvItkve3","Top 50 - Israel","Your daily update of the most played tracks right now - Israel.",48985,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1586,"37i9dQZEVXbIQnj7RRhdSX","Top 50 - Italy","Your daily update of the most played tracks right now - Italy.",1028184,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1587,"37i9dQZEVXbKXQ4mDTEBXq","Top 50 - Japan","Your daily update of the most played tracks right now - Japan.",935356,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1588,"37i9dQZEVXbKGcyg6TFGx6","Top 50 - Luxembourg","Your daily update of the most played tracks right now - Luxembourg.",7388,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1589,"37i9dQZEVXbJlfUljuZExa","Top 50 - Malaysia","Your daily update of the most played tracks right now - Malaysia.",201906,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1590,"37i9dQZEVXbO3qyFxbkOE1","Top 50 - Mexico","Your daily update of the most played tracks right now - Mexico.",1567156,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1591,"37i9dQZEVXbJU9eQpX8gPT","Top 50 - Morocco","Your daily update of the most played tracks right now - Morocco.",25209,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1592,"37i9dQZEVXbKCF6dqVpDkS","Top 50 - Netherlands","Your daily update of the most played tracks right now - Netherlands.",904272,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1593,"37i9dQZEVXbM8SIrkERIYl","Top 50 - New Zealand","Your daily update of the most played tracks right now - New Zealand.",210866,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1594,"37i9dQZEVXbISk8kxnzfCq","Top 50 - Nicaragua","Your daily update of the most played tracks right now - Nicaragua.",15660,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1595,"37i9dQZEVXbJvfa0Yxg7E7","Top 50 - Norway","Your daily update of the most played tracks right now - Norway.",521998,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1596,"37i9dQZEVXbKypXHVwk1f0","Top 50 - Panama","Your daily update of the most played tracks right now - Panama.",93538,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1597,"37i9dQZEVXbJfdy5b0KP7W","Top 50 - Peru","Your daily update of the most played tracks right now - Peru.",449640,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1598,"37i9dQZEVXbNBz9cRCSFkY","Top 50 - Philippines","Your daily update of the most played tracks right now - Philippines.",1195786,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1599,"37i9dQZEVXbKyJS56d1pgi","Top 50 - Portugal","Your daily update of the most played tracks right now - Portugal.",196113,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1600,"37i9dQZEVXbNZbJ6TZelCq","Top 50 - Romania","Your daily update of the most played tracks right now - Romania.",27854,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1601,"37i9dQZEVXbLrQBcXqUtaC","Top 50 - Saudi Arabia","Your daily update of the most played tracks right now - Saudi Arabia.",5512,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1602,"37i9dQZEVXbK4gjvS1FjPY","Top 50 - Singapore","Your daily update of the most played tracks right now - Singapore.",129699,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
